block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID05_IM01.bmp,ID05_IM03.bmp,same,BG01_ID05_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,1.3301445999968564,1,33.00978026836224
block-1,1,ID03_IM05.bmp,ID03_IM04.bmp,same,BG01_ID03_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,0.9867222000029869,1,33.00978026836224
block-1,2,ID05_IM03.bmp,ID05_IM02.bmp,same,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.8337554000027012,1,33.00978026836224
block-1,3,ID05_IM02.bmp,ID05_IM06.bmp,same,BG02_ID05_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.8157260000007227,1,33.00978026836224
block-1,4,ID01_IM02.bmp,ID03_IM06.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,2.0102669000043534,1,33.00978026836224
block-1,5,ID04_IM03.bmp,ID05_IM04.bmp,diff,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.9989437000040198,1,33.00978026836224
block-1,6,ID03_IM06.bmp,ID03_IM02.bmp,same,BG02_ID03_IM06_HSF.bmp,150,9,HSF,BG02.bmp,2,1.6611396000080276,1,33.00978026836224
block-1,7,ID04_IM04.bmp,ID02_IM01.bmp,diff,BG01_ID04_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.9515403999976115,1,33.00978026836224
block-1,8,ID03_IM03.bmp,ID03_IM05.bmp,same,BG01_ID03_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.7320998999930453,1,33.00978026836224
block-1,9,ID03_IM01.bmp,ID02_IM02.bmp,diff,BG02_ID03_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,2.5115866999985883,1,33.00978026836224
block-1,10,ID04_IM05.bmp,ID04_IM03.bmp,same,BG02_ID04_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.6633522999909474,1,33.00978026836224
block-1,11,ID04_IM06.bmp,ID04_IM04.bmp,same,BG01_ID04_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,1.5339923999999883,1,33.00978026836224
block-1,12,ID01_IM01.bmp,ID03_IM02.bmp,diff,BG02_ID01_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,1.5192977999977302,1,33.00978026836224
block-1,13,ID01_IM05.bmp,ID04_IM03.bmp,diff,BG02_ID01_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,1.758753300004173,0,33.00978026836224
block-1,14,ID01_IM05.bmp,ID04_IM03.bmp,diff,BG01_ID01_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,0.9678443999873707,1,33.00978026836224
block-1,15,ID03_IM03.bmp,ID04_IM05.bmp,diff,BG01_ID03_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.6081437000102596,0,33.00978026836224
block-1,0,ID05_IM01.bmp,ID05_IM03.bmp,same,BG01_ID05_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,1.1083137999958126,0,33.80827233696996
block-1,1,ID03_IM05.bmp,ID03_IM04.bmp,same,BG01_ID03_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,0.8376642000075663,1,34.6260795775796
block-1,2,ID05_IM03.bmp,ID05_IM02.bmp,same,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.8376923000032548,0,33.80827233696996
block-1,3,ID05_IM02.bmp,ID05_IM06.bmp,same,BG02_ID05_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.705160600002273,0,34.6260795775796
block-1,4,ID01_IM02.bmp,ID03_IM06.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,3.089526700001443,1,36.321519778851915
block-1,5,ID04_IM03.bmp,ID05_IM04.bmp,diff,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.8357224000064889,1,34.6260795775796
block-1,6,ID03_IM06.bmp,ID03_IM02.bmp,same,BG02_ID03_IM06_HSF.bmp,150,9,HSF,BG02.bmp,2,1.5537751999945613,0,36.321519778851915
block-1,7,ID04_IM04.bmp,ID02_IM01.bmp,diff,BG01_ID04_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.7081373999972129,1,34.6260795775796
block-1,8,ID03_IM03.bmp,ID03_IM05.bmp,same,BG01_ID03_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,1.0934930999937933,0,34.6260795775796
